question,A1,A2,A3,A4,correct,explanation
חייל עובר מסע לילי ממושך. במהלכו הוא מקפיד לשתות מים רבים. מזג האויר תקין. החייל מתלונן על כאבי ראש בחילות. הוא מקיא ואינו מסוגל להמשיך במסע. בבדיקה נמצא שחום גופו תקין. הוא מעיד שנתן שתן בהיר ורב מספר פעמים במהלך המסע. מה קרה לו?,מכת חום,התייבשות,חסר מלחים בגוף,כל האפשרויות לעיל נכונות,A3,"מכת חום נשללת כאשר חום הגוף תקין. ההתייבשות נשללת משום שהחייל הקפיד על שתיה, לא איבד הרבה נוזלים ונתן שתן בהיר ורב מספר פעמים במסע הסביר ביותר שהוא הקפיד לשתות אך לא צרך מלחים. שתיה מרובה דיללה את המלחים בדם, תופעה שיכולה להציג סימנים מטעים הדומים להתייבשות. איך מונעים זאת? אכילת חטיף מלוח (למשל חופן בוטנים) אחת לשעתיים שלוש. איך מטפלים? עירוי נוזלים ישפר את המצב במהירות משום שאנו מחזירים לגוף מלחים יחד עם העירוי. לעומת זאת, עוד שתיה לא תסייע לחייל."
מה נכון לגבי פגיעת רסיסים?,שכיח במלחמות ובפיגועי טרור,ללא אמצעי הדמיה קשה לזהות את מיקום כל הפגיעות,מסבך את ההחלטה על טיפול מתאים בגלל הקושי להעריך מיקום רסיסים פנימיים,כל התשובות לעיל נכונות,A4,"פגיעות רסיסים נפוצות בקרב ובפיגועי טרור. במלחמת לבנון השנייה 50% מהפצועים נפגעו מרסיסים וב""עופרת יצוקה"" - 56% מהפצועים. במהלך הפלישה לעיראק, נמצא כי 60% מהפצועים האמריקאים נפגעו מרסיסים ובשל השימוש הנרחב במטעני צד ובמתארי טרור, עלה שיעור הפצועים מרסיסים ל75%. הטיפול בנפגעי רסיסים נחשב לאתגר, הן בשל הקושי לבצע triage בהינתן מספר פצועים רב והן בגלל הקושי לאבחן בשטח מיקומם של רסיסים שחדרו פנימה לרקמות חשובות."
"מטופל משתעל חזק, מסוגל לדבר ולנשום, ומספר שחתיכת מזון נתקעה לו בגרון. — מהי דרך הפעולה הנכונה ביותר?",להתחיל החייאה,לעודד אותו להשתעל ולהשגיח,לתת מים בכוח,לבצע מיד לחיצות ברום הבטן,A2,"בחנק קל עם שיעול יעיל ויכולת לדבר, אין להתערב בצורה שעלולה להחמיר, אלא לעודד שיעול."
מה ההבדל בטיפול בין מטופל עם פגיעת חזה שיש לו הלם קרדיוגני למטופל עם פגיעת חזה שיש לו הלם המורגי?,"במקרה הראשון מספיק טרוקר, במקרה השני צריך גם לעצור דימום פנימי ולהחזיר דם","במקרה הראשון ניתן לטפל בשטח, במקרה השני נדרש פינוי מהיר","במקרה הראשון יהיה חיוורון, במקרה השני יהיה גודש ורידי הצוואר",א + ב נכונים,A4,"הלם קריוגני על רקע חזה אויר בלחץ מסוכן מאוד אך יכול להיפתר במהירות על ידי הכנסת נקז לחזה (טרוקר). במקרה זה, מצב המטופל ישתפר באופן שקדימות הפינוי תרד מאוד. הלם המורגי על רקע פגיעה בכלי דם פנימי מסכנת חיים וניתן לטפל בה רק באמצעות ניתוח תוך החזרת דם למטופל. בשני המקרים המטופלים יהיו חוורים (בגלל ההלם) אבל במקרה הראשון יהיה גודש ורידי צוואר בגלל החזר דם לקוי אל הלב. במקרה השני, בשל ההלם, הורידים יהיו בהתמוטטות על רקע אובדן הדם ולכן לא יהיה גודש."
מהו הטיפול הפחות מתאים לנפגע עם מכת חום?,הפשטת הבגדים והשכבת הנפגע בצל,קירור הגוף באמצעות שפיכת מים רבים על הנפגע,"שתייה מרובה של מים קרירים, עדיף עם המתקה","עירוי נוזלים, עדיף עירוי מקורר",A3,"שתיה מרובה מתאימה לאנשים עם התייבשות ובעיקר על מנת למנוע בעיות. בסובלים ממכת חום יש תופעה של הקאות שאינן מאפשרות לספוג את הנוזלים ויש בעיה של ירידה במצב ההכרה, דבר שעלול להוביל לבעיות בליעה ולאספירציה (שאיפת הנוזלים אל הריאות). אגב, הטיפול החשוב ביותר הוא פינוי הסובל ממכת חום ישירות לבית החולים, במהירות הגבוהה ביותר האפשרית. זכרו: מכת חום הורגת! יש לפנות מהר ככל שניתן!"
מתן בן 6 מחזיק חוט חשמל חשוף. מה השלב הראשון?,לא מטפל,בטיחות ניתוק חשמל הזמנת כוחות,סכמת החייאה,סכמת PHTLS,A2,
"הגיע לידיך פצוע עם פגיעה חודרת בבטן. בנוסף, הוא סובל מהתופעות הבאות: דופק מהיר ושטחי. נשימה מהירה ושטחית, חיוורון וצימאון. איזה סימן נוסף יכול לאפיין מצב זה?",יובש בעור על רקע איבוד נוזלים,מילוי קפילרי איטי,צבע עור אדום וחם,טורגור נורמאלי,A2,"מדובר בנפגע הלם, כך שנצפה לראות סימני הלם נוספים כמו זיעה קרה (ולא יובש בעור), צבע עור חיוור או כחלחל (בגלל היעדר דם וחמצן) וטורגור נמוך. מילוי קפילרי - לוחצים על הציפורן של האצבע בעדינות עד להלבנת קרקעית הציפורן. במצב תקין, אמור הצבע התקין לחזור במהירות, תופעה שמראה שנימי הדם (קפילרים) מעביר דם לאזור הציפורן. ירידה בנפח הדם פוגעת בזרימת הדם בכלי הדם הפריפריים. Skin turgor - באופן נורמלי כאשר מושכים את העור (של גב כף היד או של הבטן) מעלה, הוא חוזר די מהר למצבו התקין. במצב של התייבשות, העור חוזר באופן איטי יחסית. שימו לב שבאנשים שעורם כבר אינו גמיש (למשל קשישים) אין לבדיקה זו ערך. מצב זה מכונה טורגור נמוך."
"בן 34 שכוב על רצפה, נפל פתאומית, עכשיו מתעצבן. למה תחשוד?",לאחר עלפון,שבץ מוחי,פרכוסים,סתם עצבני,A1,
אדם בן 46 חבול בצלעות. מה הקוד הרפואי?,בעיות לבביות אחרות,פגיעת חזה,בעיות רפואיות אחרות,כאבים בחזה,A2,
"מטופל לאחר דימום משמעותי נראה חיוור, עורו קר ולח, יש לו דופק מהיר, נשימה מהירה והוא מתלונן על צמא. — מהו המצב הסביר ביותר?",הלם היפוולמי,הלם נוירוגני,פרכוס חום,COPD,A1,"אובדן דם, עור קר ולח, דופק מהיר וצמא מתאימים להלם היפוולמי."
האם קיים מצב המודינאמי (דופק ולחץ דם) מחייב באוטם חריף בשרירי הלב (MI):,"כן, באוטם בשריר הלב לחץ הדם והדופק במגמת ירידה.","כן, באוטם בשריר הלב לחץ הדם והדופק במגמת עליה.","לא, באוטם בשריר הלב אין מצב המודינאמי מחייב.","לא, רק במצב של אנגינה פקטוריס בלתי יציבה קיים מצב המודינאמי מחייב.",A3,
מה נכון לגבי פרכוסי חום בילדים?,במקרה של אירוע ראשון יש לצנן את הילד ולהוריד את חומו,אם הילד סובל מקור יש להלבישו שכבת בגדים נוספת,יש להתחיל ב ABC מרגע הופעת הפרכוס הראשון,כל התשובות לעיל נכונות,A1,"פרכוסי חום שכיחים יחסית בתינוקות עם חום גבוה. התופעה שכיחה על רקע משפחתי גנטי ולכן, לעתים צפויה וניתנת למניעה. במקרה של אירוע ראשון, יש לצנן את הילד עם תרופות מורידות חום ועם מגבות רטובות במים פושרים. בכל מקרה, אין להעמיס על הילד לבוש (למרות תחושת הקור שלו)! כמובן, חשוב לפנותו למרכז רפואי לקבלת המשך טיפול. בכל מקרה של אובדן הכרה יש לבצע ABC להורדת מצגת מפורטת בנושא הצלת חיים"
מהו הסימן העיקרי שמכוון לפגיעת הדף?,צפצופים באוזניים,כוויות ברחבי הגוף,מצוקה נשימתית,סיפור מקרה של פיצוץ,A4,הסימן העיקרי הוא סיפור מקרה של פיצוץ. שאר הסימנים בשאלה נכונים אבל יכולים לכוון לפגיעה מפיצוץ ללא גל הדף. איך נזהה הדף? הרבה פגיעות פנימיות (כלל מערכתי = סיסטמי) וכמעט שאין שום פגיעה חודרת או חיצונית.
מה מאפיין נשימה אירובית?,מתרחשת ללא שימוש בחמצן,מפיקה מעט אנרגיה,מפיקה הרבה אנרגיה באמצעות חמצן,מתבצעת רק בירח מלא,A3,"נשימה אירובית = עם חמצן, מפיקה 36-38 ATP. אנאירובית = ללא חמצן, מפיקה 2 ATP בלבד."
מהו התפקיד המרכזי של מערכת הנשימה?,להעביר דם מהלב למוח,לספק חמצן לגוף ולהוציא פחמן דו-חמצני,לווסת את חום הגוף,לסייע בגלוקוניאוגינזה,A2,מערכת הנשימה מביאה O₂ לדם ומוציאה CO₂ (פסולת הנשימה התאית).
גברת 70 עם דיבור לא ברור וחולשה פלג גוף ימין. למה תחשוד?,לאחר פרכוס,הרעלה,CVA,היפוגליקמיה,A3,
מתי נשתמש באמבו?,במטופל עם קושי בפתיחת נתיב אויר,בהנשמה ועיסוי על ידי שני אנשים,בהנשמה ועיסוי על ידי אדם אחד או שניים,בכל מצב בו נותנים חמצן למטופל,A2,"השימוש באמבו מאפשר דחיפת חמצן פנימה ומחליף את הנשימה הטבעית. ניתן אותו לכל מטופל המתקשה בנשימה או שאינו נושם כלל. מתי לא ניתן אותו? כשיש שינויים במבנה הפנים שאינם מאפשרים הנשמה עם אמבו, כשלא ניתן לפתוח את הפה, כשמדובר בבזבוז זמן, כמו למשל במצב של עיסויים על ידי אדם אחד, כשהמטופל מתנגד (כנראה שהוא נושם). הערה: במטופל שנושם בכוחות עצמו ניתן חמצן ללא סיוע באמבו אך ניתן להעשיר את ההנשמה באמבו עם חמצן באמצעות חיבור צינור החמצן לחיבור הלבן המיועד לכך."
מה מהבאים אינו נכון לגבי AW?,מונע סגירת הפה בעת הנשמה,קיימים 6 גדלים שונים לAW,ברגע שAW נפלט יותר מפעמיים נוציא ולא נחזיר,AW מונע צניחת בסיס לשון,A2,
"מטופלת בת 25 נעקצה מדבורה. לאחר מספר דקות מופיעים קוצר נשימה, פריחה מפושטת, נפיחות בשפתיים ודופק מהיר. — מהו המצב הסביר ביותר?",תגובה אנאפילקטית,שבץ מוחי,פרכוס חום,הלם נוירוגני,A1,"פגיעה בשתי מערכות לפחות, עור ונשימה, לאחר חשיפה לאלרגן מצביעה על אנאפילקסיס."
באיזה תת לחץ מפעילים סקשן חשמלי למבוגר?,בתת לחץ המופעל על ידי היד או הרגל של המטפל,150 mmHg,500 mmHg,מדובר במכשיר חשמלי ולכן לא צריך להפעיל לחץ,A3,"הפעלה עם יד או רגל מתייחסת לסקשן ידני. סקשן חשמלי נבדק בתת לחץ 150 mmHg אך נפעיל אותה במבוגר על לחץ של 500 mmHg (בילדים נשארים עם 150). הערה: הכוונה לתת לחץ היא פעולת שאיבה, ההיפך מלחץ שהוא פעולה של דחיסת אויר קדימה."
איזה שבר יכול לגרום לסכנת דימום חמורה עד כדי הלם?,שבר בשוק,שבר בשליש תחתון של הירך,שבר בשליש עליון של הירך,שבר בגולגולת,A2,"סמוך לשליש התחתון של הירך פונה עורק הפמורליס כלפי מטה. לכן, שבר באזור זה עלול לבתק את העורק ולגרום לדימום מסיבי. בחלל הירך ניתן לכלוא כליטר וחצי דם וזוהי כמות מרשימה. מסיבה זו, כאשר יש שבר בשליש הירך התחתון, נמנעים מליישר את הרגל ומקפידים לקבע אותה. אם בכל זאת מתחילה נפיחות מסיבית אז חושדים בשטף דם פנימי בירך וחוסמים את הדימום באמצעות חסם עורקים. הערה: אין לבצע מתיחה של שבר זה, כך שמתיחה על ידי סד תומס נחשבת להתוויית נגד."
מה כוללת ערכת העשרה בחמצן?,מיכל חמצן של 100 אטמוספרות,מיכל חמצן של ליטר חמצן,שני וסתים לבלון החמצן,עגלה להובלה או נשיאת בלון החמצן,A3,"ערכת העשרה בחמצן כוללת מיכל וחמצן, שני ווסתי לחץ, צינור לחיבור ומסכית העשרה. מיכל החמצן יכול להכיל 200 אטמוספרות, 2.5 ליטר חמצן (שמאפשרים זרימה של 10 ליטר בדקה). לבלון חמצן אין ערכת נשיאה ולכן לא ניתן לסחוב אותו בהליכה רגלית (וחבל)."
מה מאפיין החייאה של תינוק?,נבדוק את הדופק לאורך 10 שניות בעורק הקרוטי,נעסה בדיוק באמצע בסטרנום בין שתי הפטמות,נשתמש בתור מצע קשה בכף היד הפנויה שלנו,נבצע הנשמה כל 5 שניות לפה ולאף ביחד,A3,"דופק: נבדוק למשך 10 שניות בעורק הברכיאלי (בחלק הפנימי של המרפק) מיקום: אצבע מתחת לקו הפטמות. העיסוי עם שתי אצבעות. מצע קשה: תמיכה באמצעות כף היד הפנויה (הראשונה עושה עיסוי) עומק העיסוי: 4 ס""מ, כמחצית מעומק בית החזה"
"גבר מעשן כבד מתאר קוצר נשימה קבוע, שיעול עם ליחה ונשיפה ממושכת. הוא מספר שזה נמשך שנים. — איזו מחלה מתאימה ביותר?",COPD,אנאפילקסיס,פרכוס קטן,עילפון,A1,"קוצר נשימה כרוני, שיעול עם ליחה ונשיפה ממושכת אצל מעשן מתאימים ל-COPD."
מה נכון לגבי נפגעי טראומה?,הערכת מצב ההלם תבוצע על ידי בדיקת דופק,נבצע עיסוי לב בנפגע טראומה ללא דופק,בשלב ה A נטה את הראש לאחור,בדיקת הנשימה אורכת כחמש שניות,A1,"בנפגעי טראומה מסוכן להזיז את הראש לאחור בגלל חשש לשבר בעמוד שדרה צווארי. לכן נעדיף להרים את הלסת במקום להטות את הראש לאחור. עיסויי לב נבצע באנשים עם דום לב שלא על רקע טראומה. למשל בהתחשמלות, טביעה, חנק או התקף לב. בנפגעי טראומה ניתן נוזלים בתקווה שזה מה שיגדיל את נפח הדם ויחזיר את הדופק. בדיקת נשימה נמשכת כ 30 שניות. קשה להעריך נשימת פצוע, בעיקר אם הוא נפגע ראש והוא נושם לאט. הערכת מצב ההלם תסתמך על סימנים שונים כמו זיעה, גפיים קרות, נשימה מהירה ושטחית וחיוורון, אך הבדיקה האמינה ביותר עבורנו היא בדיקת דופק. דופק מהיר וחלש מצביע על שוק היפוולמי ולפיכך על צורך בהחזר נוזלים."
אילו פגיעות פחות סבירות כתוצאה מגל הדף?,חזה אויר בלחץ,נזק שמיעתי על רקע פגיעה בקרום עור התוף,חבלת ראש על רקע חבטה,הלם על רקע דימום בעורק הירך,A4,"גל ההדף מזיק בעיקר במעברים בין מוצק לחלל. כך למשל: אוזניים - יש חלל אחרי קרום עור התוף. הגל עובר וקורע את הקרום. מערכת הנשימה - הגל עובר את הצלעות והשרירים ומפוצץ את הריאות. זה גורם לחזה אויר בלחץ. אברי הבטן - הגל עובר את שרירי המעיים ופוגע במעיים ויכול לגרום לזיהום. בנוסף, תתכן פגיעה של כלי דם חשובים בבטן ומשם הלם היפוולמי. חבלה קהה - גל ההדף מעיף את הנפגע וגורם לפציעות ושברים ברחבי הגוף, לרבות בראש. הערה: בירך אין חללי אויר ולכן הסבירות לפגיעה שם פחותה יותר."
מהו הסדר הנכון לביצוע סכימת החייאה במבוגר משמאל לימין?,"4,8,6,3,7,2,5,1,9","4,6,7,8,3,1,2,5,9","8,4,6,7,2,3,1,5,9","4,6,7,8,3,1,5,2,9",A2,
"כיצד נטפל באדון הנ""ל?","ABC: סיוע נשימתי, פינוי מהיר לביה""ח.",ABC: פינוי דחוף תוך מתן גלוקוגל.,"ABC: נט""ן, חמצן, הרגעה, אספירין.",ABC: נרפד את ראשו וננסה לחבר חמצן.,A3,
"הגיע אלינו פצוע עם נפיחות, שינוי צורה, כיחלון, כאבים והגבלה בשוק . מה נכון לגביו?",מדובר בשטף דם פנימי ולכן הפינוי מידי,מדובר בשבר מרוסק ולכן הפינוי מידי,מדובר בשבר פתוח ולכן צריך לתת אנטיביוטיקה דבר ראשון,מדובר בשבר שיש לדחות את הטיפול בו עד להשלמת A-E,A4,"שבר הוא פגיעה ברצף של הרקמה הקשה בגוף. סימני השבר כוללים נפיחות, בשל בריחת נוזלים מהרקמות והצטברותם במרווח הבין תאי. שטפי דם מקומיים יכולים לצור כחלון. שינוי בתצורת העצם תוביל לשינוי צורה חיצוני ולהגבלה בתנועה. שבר פשוט הוא שבר במקום אחד של העצם. במקרה של שבר פשוט יש להשאיר את הטיפול בו לקראת סוף הסכימה בפצוע. טיפול כזה יכלול הרגעת כאבים וקיבוע. שבר מרוסק כולל שברים ביותר ממקום אחד. בשבר פתוח, חלק מרקמת העצם מבצבץ בחוץ ואז יש להקפיד על טיפול אנטיביוטי מסיבי מחמת סכנת הזיהום, אך זהו אינו טיפול ראשוני. מאידך, אם השבר גרם לפגיעה בכלי דם, הרי שתתכן סכנה מידית בשל שטף הדם. הטיפול הוא כמו בכל שטף דם ויכול לכלול חסימה עורקית ועירוי נוזלים וכמובן- פינוי מיידי."
לא נכון הסכנה העיקרית בMI היא:,היפוגליקמיה,אנגינה פקטוריס,הפרעות קצב,אי ספיקת לב ימין,A3,
מהו זמן ההנשמה המירבי?,שנייה אחת,שתי שניות,חמש שניות,אין זמן מוגדר. עד להתרוממות בית החזה,A1,זמן הנשמה מרבי יהיה שניה אחת ועד להתרוממות בית החזה.
מהם שלבי הפרכוסים?,אאורה פוסט אקטל טוניק קלוניק טוניק,פוסט אקטל אאורה טוניק טוניק קלוניק,אאורה טוניק טוניק קלוניק פוסט אקטל,אאורה טוניק קלוניק טוניק פוסט אקטל,A3,
מהי מטרת ההחייאה?,זילוח דם אל רקמות הגוף,חיקוי פעולת לב ריאה,החזרת דופק ונשימה,שמירה על פריפוזיה מוחית,A1,
מה יהיה הדופק בעת VF?,מהיר מאוד,איטי מאוד,לא יהיה דופק,לא סדיר,A3,
נפח המיכל הוא 2 ליטר. נותר לחץ של 100 אטמוספרות. אנו מתכננים להזרים 10 ליטרים לדקה. לכמה זמן ישמש אותנו בלון חמצן זה?,10 דקות,20 דקות,40 דקות,50 דקות,A2,משך הזמן מחושב לפי הנוסחה הבאה: משך הזמן בדקות = נפח המיכל כפול לחץ אטמוספרי חלקי מספר הליטרים לדקה. במקרה שלנו: נפח המיכל = 2 ליטר. לחץ אטמוספרי = 100 קצב ההזרמה = 10 LPM לכן: 2*100 חלקי 10 = 20 דקות. בלון חמצן מלא מספק חמצן ל 50 דקות (בקצב הזרמת חמצן המומלץ לחובש). לפי חישוב של 200*2.5 חלק 10 = 50 דקות.
למה תגרום אי ספיקת לב ימנית?,קוצר נשימה,הפרעות קצב,בצקת ריאות,בצקות בגפיים,A4,
מה מארבעת המדדים תקין למבוגר?,נשימות 10 דופק 64 לד 120/60,נשימות 18 דופק 68 לד 100/80,נשימות 16 דופק 50 לד 100/60,נשימות 16 דופק 80 לד 110/80,A4,
"בעל סכרתי עם היפוגליקמיה אחרי תאונה, סוכר 41, לד 100. מה נכון?",אירוע לבבי - פינוי דחוף חמצן,תאונה פשוטה - פינוי רגיל,התקף היפוגליקמיה - חבירה לנטן גלוקוג'ל וחמצן,היפרוונטילציה - הרגעה,A3,
מה ניתן לעשות בכוויות דרגה א?,לקרר עם קרח,לקרר עם מי קרח,למרוח משחת סילברול,לפוצץ שלפוחיות,A2,אין לקרר ישירות עם קרח כי זה עלול לגרום לכוויה בעצמו. משחת סילברול ניתנת בהוראת רופא ורק לכוויות דרגה ב ומעלה. בכוויות דרגה א נקרר עם רטיות של מים קרים ונמרח משחות מרגיעות ומלחלחות.
"מאיזו תרופה צריך להימנע, ככל שניתן, בפגיעת ראש?",קטאמין ודורמיקום,רוצפין ופלאג´יל,פראמין ובנזודיאזפינים,מורפיום,A4,"קטאמין 3-4mg/kg IV ינתן לפני ביצוע אינטובציה ובעקבותיה דורמיקום 5mg IV לשמירת המטופל מורדם ומונשם. בפגיעות ראש חודרות ניתן Rocefin בסך 2 מ""ג לווריד, אחת ליום. כמו כן, ניתן Flagyl בסך 500 מ""ג שלוש פעמים לתוך הווריד. פראמין היא תרופה למניעת הקאות ובנזודיאזפינים (כדוגמת דורמיקום וואליום) ניתנים למניעת פרכוסים. מורפיום יכול לגרום לדיכוי נשימתי ולגירוי להקאות. בנוסף הוא עלול לטשטש סימנים נוירולוגים, כך שנתקשה במעכב אחר המטופל. ניתן לתת אופטלגין לכאבים לא חמורים במיוחד. אם הפצוע מורדם, אז ממילה לא צריך לתת מרגיעי כאבים. הערה: קטאמין מעלה ICP אך ללא קטאמין האינטוביציה עלולה להסתבך ולהעלות את ה ICP אפילו יותר."
איזה סימן פחות מאפיין פגיעת מעיכה?,סיפור מקרה של אדם שקיר נפל עליו,נימול וקושי בהנעת הגפה,כאב חזק שלא מתאים למראה האזור שנפגע,דופק מהיר וחלש,A4,"סימני פגיעת מעיכה: א - סיפור מקרה של חפץ כבד ש""ישב"" על הנפגע זמן ממושך ב - כאב שאינו מתאים לחומרת הפגיעה הנראית לעין ג - קושי או היעדר יכולת להניע גפה (לאחר זמן ממושך) ד - תחושת נימול באזור הנפגע ה - אובדן דופק בגפה (בגלל הלחץ. וכמובן לא דופק מהיר וחלש, אלא אם ישנה פגיעה נוספת שגורמת להלם)."
מהי השרשרת האנטומית?,"תא, רקמה, מערכת, איבר, גוף","אנטומיה, פיזיולוגיה, פתופיזיולוגיה","תא, רקמה, איבר, מערכת, גוף","מים, חמצן וגלוקוז",A3,
מהם גבולות מערכת הנשימה?,"עליון: קנה הנשימה, תחתון: סרעפת, קדמי: ריאות, אחורי: שכמות, היקפי: צלעות","עליון: עצמות הבריח, תחתון: הקצה התחתון של הריאות, קדמי: סטרנום, אחורי: עמוד השדרה, היקפי: שרירי עזר נשימתיים","עליון: עצמות הבריח, תחתון: סרעפת, קדמי: סרטנום, אחורי: עמוד השדרה, היקפי: כלוב הצלעות","עליון: קלביקולה, תחתון: קצה הריאות, קדמי: ריאות, אחורי: שכמות, היקפי: צלעות",A3,
הגיע אלינו פצוע בטן עם רגליים ישרות. מה נעשה?,נקפל לו את הרגליים כדי להקל על הכאב,נקפל לו את הרגליים כדי להרפות את שרירי הבטן,נקפל לו את הרגליים כדי לשפר את הנשימה,נשאיר את הרגליים כפי שהן,A4,"כדי להרפות שרירי בטן כואבים, פצועי בטן יכולים לקפל את רגליהם. אם מצאנו את הרגליים ישרות, יש להשאיר את המטופל במצב זה. קיימת אפשרות שהפצוע לא מקפל את רגליו בגלל נזק בעמוד השדרה או בגלל שיש חתך רוחבי שיכול להוביל ליציאת מעיים גדולה יותר."
מה צריך לעשות כאשר אנו נתקלים באדם מפרכס על רקע אפילפטי?,לשמור על נתיב אויר פתוח ולמנוע חנק מהקאות,לרסן את ההתכווצויות,לקבע את הראש לאחור על מנת לשמור נתיב אוויר פתוח,כל התשובות לעיל נכונות,A1,"התקפים אפילפטיים מסוג Grand Mal מובילים להתכווצויות כלליות, איבוד שליטה על סוגרים ואובדן הכרה. במקרים קשים ההתקף מתמשך ועלול להוביל לחנק, פגיעה בשל חבלה מהרעידות ונזק מוחי בשל חסר חמצן למוח. לכן יש לשמור על נתיב אויר פתוח ולמנוע חנק מהקאות. אין לנסות לרסן את ההתכווצויות אך חשוב לרפד את אזור הראש כדי למנוע חבלות. במקרה של אובדן הכרה יש להזעיק את מד""א. להורדת מצגת מפורטת בנושא הצלת חיים"
"אדם סובל מהיפרגליקמיה, מה מהבאים נכון:",יש לו חוסר סוכר בדם ואין אינסולין.,לאדם זה יש פחות סוכר בדם ולכן ניתן לו גלוקוג'ל.,יש לו עודף סוכר בדם ואין אינסולין.,"יש לו פחות סוכר בדם והסימנים יהיו השתנת יתר, רעב וצמא.",A3,
למה בודקים דופק ולא לחץ דם בשלב ה C ?,בשלבים הראשונים של ההלם לחץ הדם לא יורד,דופק מהיר הוא תמיד מדד אמין להלם,מדידת לחץ דם נמשכת זמן רב ודורשת מיומנות,שאלה מטעה. בשלב ה C לא צריך לבדוק דופק,A1,"לפי ה ATLS אנו מכירים בארבע דרגות הלם: דרגה א - תחילת איבוד דם. לחץ הדם לא השתנה אך הדופק מואץ. שלב ב - לחץ הדם עולה כתגובה לירידה בנפח הדם (קומפנסציה = פיצוי). הדופק נעשה מהיר יותר. שלב ג - לחץ הדם מתחיל לרדת אך מהירות הדופק נשארת מהירה. עוצמת הדופק נחלשת שלב ד - לחץ הדם יצנח ולא מרגישים כלל דופק רדיאלי (אבל כן בקרוטיד) לאור זאת, לחץ הדם מגיב רק מהשלב השלישי של ההלם, מה שאומר שאנו עלולים להחמיץ את האבחנה כאשר ההלם בהתהוות. הערה: יש לסייג ולציין שדופק מהיר וחזק יכול לאפיין מטופל בסטרס או מטופל קצת מיובש. ובכל זאת זהו מדד טוב משום שאינו לוקח זמן, הוא מכוון אותנו לטיפול בנוזלים (קצב הדופק = קצב העירוי) ותמיד אפשר לבדוק אותו שוב."
"ילדה בת 3 פרכסה, חמה, השבוע חלתה בשפעת. מה החשד?",רגישות כלשהי,פרכוסי חום,מכה שגרמה לפרכוס,,A2,
"מטופל עם חום מספר ימים, צמרמורות, חולשה, שיעול רטוב עם ליחה וכאב בחזה שמתגבר בנשימה. — מהו המצב הסביר ביותר?",דלקת ריאות,אוטם שריר הלב,חנק חמור,היפוגליקמיה,A1,"חום, צמרמורות, חולשה, שיעול עם ליחה וכאב חזה מתאימים לדלקת ריאות."
מה הוא הגבול התחתון של בית החזה?,צלעות 12,המעיים,הסרעפת,קרום הפלאורה התחתון,A3,
הגעת לבן 70 מעשן עם מיכל חמצן בבית ועם צפצופים בנשימה. למה תחשוד?,בצקת ריאות - חמצן 10LPM פינוי דחוף,COPD - חמצן 10LPM פינוי דחוף,בצקת ריאות - הנשמה מסייעת פינוי לאטן,COPD - הנשמה מסייעת פינוי לאטן,A2,
בת 67 עם שפתיים אדומות מאוד. על מה זה מעיד?,פגיעת ראש,התחשמלות,שאיפת עשן,איפור,A3,
כיצד נגדיר אדם בן 30 יום?,יילוד,תינוק,ילד,פעוט,A2,"הגדרות גיל: יילוד (0-28 יום), תינוק (28 יום - שנה), ילד (1-8 שנים), מבוגר (8+)."
מהו החום הממוצע (התקין) בגוף?,36-37.5 דרך הפה ו- 36.5-38 דרך הרקטום,36-37.5 דרך הרקטום ו- 36.5-38 דרך הפה,35-36.5 דרך הפה ו- 37-38.5 דרך הרקטום,35-36.5 דרך הרקטום ו- 37-38.5 דרך הפה,A1,מדדי חום תקינים אצל מבוגר מתייחסים ל 36-37.5 מעלות במדידה דרך הפה PO (שזה Per Os ) ו- 36.5-38 מעלות במדידה דרך פי הטבעת PR (שזה Per Rectum ). יודגש כי מדובר בערכים ממוצעים ויש לכך גם חריגים.
קשישה עם בלבול סחרחורות בחילות. 16 נשימות דופק 60 לד 120/60. איזו מחלה ניתן לשלול?,CVA,תעוקת לב,אוטם בשריר הלב,התקף אסטמה,A4,
מה נכון לגבי התעלפות?,עילפון לאורך דקות ארוכות דורש התערבות רפואית,במקרים קלים ניתן לשפוך מים או לנער את המתעלף,הרמת רגלי המטופל היא פעולה נכונה במקרה של התעלפות על רקע חולשה,אם המטופל התאושש בפחות מחצי דקה אין צורך בהמשך בירור,A3,"התעלפות מוגדרת כפעולה בה הגוף סובל מחסר זמני, ללא יותר מחצי דקה, של אספקת דם למוח. מכאן שכל ניתוק מעל יותר מחצי דקה יכול להיחשב לאובדן הכרה. במקרה זה יש לטפל לפי סדר ה ABC . התעלפות נובעת מירידה זמנית בלחץ הדם. הגוף אינו מצליח להעביר חמצן למוח והאדם מאבד הכרתו. הנפילה מאפשרת להחזיר דם למוח ולכן לצאת ממצב העילפון. בעלפון יש להרים את רגלי המטופל כדי לאפשר החזר דם טוב למוח. אין לשפוך מים, לסטור על פני המטופל או לצבוט אותו! יש להפנות את המתעלף לרופא על מנת לברר אם האירוע נובע מחולשה, התייבשות, הפרעות קצב, תרופה לא נכונה, זכייה בלוטו או כל סיבה אחרת. להורדת מצגת מפורטת בנושא הצלת חיים"
"ילד במדבר יהודה רועד, עור אדום וחם, ללא כובע. ממה סובל?",התייבשות,מכת חום,הכשת נחש,זעזוע מוח,A2,
מה מערכי הלחץ דם הבאים לא תקין למבוגר?,120/80,140/90,90/60,130/60,A3,
